af | Afrikaans         | germanic  | afr
ar | Arabic            | african   | ara,arab
be | Belarusian        | slavic    | bel,belo,bela,belorussian,belarusan,byelorussian
bg | Bulgarian         | slavic    | bul
bn | Bengali           | asian     | ben
br | Breton            | celtic    | bre
ca | Catalan           | romance   | cat
ch | Cherokee          | other     | chr,che
cs | Czech             | slavic    | cze,cz
cy | Welsh             | celtic    | wel,cym
da | Danish            | germanic  | dan,dk
de | German            | germanic  | ger,deu,deutsch
el | Greek             | other     | gre,ell,gr
eo | Esperanto         | other     | epo
es | Spanish           | romance   | spa,espanol
et | Estonian          | finno     | est,ee
eu | Basque            | other     | baq,eus,bas
fa | Persian           | asian     | per,fas,farsi
fi | Finnish           | finno     | fin
fo | Faroese           | germanic  | fao,far
fr | French            | romance   | fra,fre
ga | Irish             | celtic    | gle,gaelic,iri
gd | Scottish Gaelic   | celtic    | gla,scottish,sga
gl | Galician          | romance   | glg,galego
he | Hebrew            | other     | heb
hi | Hindi             | asian     | hin
hr | Croatian          | slavic    | hrv,cro
hu | Hungarian         | finno     | hun
hy | Armenian          | other     | arm,hye
id | Indonesian        | asian     | ind
is | Icelandic         | germanic  | ice,isl
it | Italian           | romance   | ita
ja | Japanese          | asian     | jpn,jp,jap
ka | Georgian          | other     | geo,kat,ge
kk | Kazakh            | turkic    | kz,kaz,kazak
km | Khmer             | asian     | khm,kmer
kn | Kannada           | asian     | kan
ko | Korean            | asian     | kor
ky | Kyrgyz            | turkic    | kir,kirgizh,kg,kyr
lb | Luxembourgish     | germanic  | ltz,lu,lux
ln | Lingala           | african   | lin
lt | Lithuanian        | other     | lit
lv | Latvian           | other     | lav,lat
mk | Macedonian        | slavic    | mac,mkd
mn | Mongolian         | asian     | mon,mongol,mo
mt | Maltese           | other     | mlt,mal
nb | Norwegian         | germanic  | nor,no
nl | Dutch             | germanic  | dut,nld
nv | Navajo            | other     | nav
pl | Polish            | slavic    | pol
pt | Portuguese        | romance   | por,portugese
rm | Romansh           | romance   | roh,romansch,rumantsch
ro | Romanian          | romance   | rum,ron
ru | Russian           | slavic    | rus
sb | Sorbian           | slavic    | wen,sorb
sk | Slovak            | slavic    | slo,slk
sl | Slovene           | slavic    | slv,slovenian,si
sr | Serbian           | slavic    | srp,ser
sq | Albanian          | other     | alb,sqi,al
sv | Swedish           | germanic  | swe,se
sw | Swahili           | african   | swa
ta | Tamil             | asian     | tam
te | Telugu            | asian     | tel
th | Thai              | asian     | tha
tl | Filipino          | asian     | fil,tagalog
tr | Turkish           | turkic    | tur
uk | Ukrainian         | slavic    | ukr,ua
uz | Uzbek             | turkic    | uzb
vi | Vietnamese        | asian     | vie,vn,viet
xh | Xhosa             | african   | xho,xosa,isixhosa
yo | Yoruba            | african   | yor
zh | Chinese           | asian     | chi,zho,cn
zu | Zulu              | african   | zul
